# Deepworks — SFX manifest (canonical). One clip per line:
# file | event id (DWAudio.play name, js/audio.js SOUNDS/SAMPLE_BY_EVENT) | description of the sound | usage context
# Clips: MOSS-SoundEffect v2.0, 48 kHz mono Opus 96 kbps VBR, loudness-normalised (-20 LUFS), 100 steps. All play on the effects bus; a synthesized fallback plays until the clip is decoded or if it fails to load.
ui-click.opus | ui_click | A single short crisp click of a small wooden toggle switch being pressed, dry and close | Every menu/HUD button press (DWUI btn helper), layer selection tap
ui-back.opus | ui_back | A soft low wooden thunk followed by a brief airy whoosh, like closing a small drawer | Back buttons and closing the pause/settings panel
error-denied.opus | error | A dull double knock of a rubber mallet on a hollow wooden crate, muted and low | Rules rejected a command (main.js doCommand) or no flare to claim
worker-assign.opus | assign | A single sharp pickaxe strike against hard rock with a brief stony echo in a mine tunnel | An idle worker is assigned to the selected layer ('assign' command)
worker-recall.opus | unassign | Two soft boot steps scuffing backward on loose gravel in a quiet tunnel | A worker is recalled from a layer ('unassign' command)
worker-hire.opus | hire | A small brass hand bell rung twice brightly, like a foreman calling a new hire over | A new worker is hired ('hire' command)
upgrade-complete.opus | upgrade | A ratchet wrench clicking rapidly three times then a solid metal clank as a bolt seats home | Shaft, lift capacity or lift speed upgrade purchased
layer-unlock.opus | unlock_layer | A massive stone slab door grinding open with a deep subterranean rumble and falling pebbles | A sealed layer is opened ('unlock_layer' command)
flare-claim.opus | claim_flare | A cascade of small crystals and coins pouring and clinking into a shallow metal pan | A seam flare is claimed for its instant payout
flare-warning.opus | flare_started | A rising hiss of pressurized gas venting from a rock fissure with a faint deep tremor | Rules event 'flare_started': a seam begins to flare
coin-clink.opus | coin | A single small gold coin clinking once against a stack of coins on a metal surface | Income trickle: every third 100-credit bucket of lifetime earnings
foreman-whistle.opus | foreman | A short sharp blow of a wooden foreman's whistle, single piercing chirp with tunnel reverb | Foreman bought or toggled on/off
shift-victory.opus | terminal_win | A large brass mine bell struck three times in celebration, ringing out with long cavernous reverb | Run closed with terminal.won = true (goal complete, endless bank, sprint time-up)
shift-defeat.opus | terminal_lose | Old mine timbers creaking and groaning as they settle, ending in a low weary thud | Run closed with terminal.won = false (time-up or moves exhausted with a goal)
undo-swipe.opus | undo | A quick reverse paper-like swipe, a soft fast whoosh sliding from high to low | Practice undo (Z / Undo button) restored the previous state
bin-blocked.opus | bin_blocked | A heavy load of loose rock and gravel jamming and grinding to a halt inside a metal chute, ending in a dull hollow clunk, in an echoing mine tunnel | A layer's ore bin first reaches the 98% blocked threshold (main.js checkBottleneck; rate-limited to one cue per 8 s)
flare-fizzle.opus | flare_expired | A burning gas flame sputtering and dying out with a soft descending hiss and a final faint pop, close and dry | Rules event 'flare_expired': a flare faded unclaimed
lesson-chime.opus | lesson_step | Two bright ascending notes struck on a small metal xylophone bar, clean and short with a gentle ring | A Learn-mode lesson step is completed (advanceLesson)
shift-start.opus | shift_start | A steam whistle giving one short firm blast at a mine head at dawn, mid-pitched with a brief outdoor echo | The 3-2-1 countdown ends and the simulation starts running
achievement-star.opus | achievement | A single struck crystal glass chime blooming into a shimmering sparkle tail, bright and delicate | An achievement unlocks (mid-run toast or on the results screen)
away-return.opus | away_return | A wooden hut door creaking open and a small brass bell over the door jingling once, warm and close | The "While you were away" summary opens when a saved practice shift is resumed
